@relation EmployeesSalary(1)-weka.filters.unsupervised.attribute.NominalToString-C2-5-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last

@attribute first_name string
@attribute last_name string
@attribute email string
@attribute Address string
@attribute Country=China numeric
@attribute Country=U.S.A. numeric
@attribute Country=Germany numeric
@attribute Country=Mexico numeric
@attribute Country=Canada numeric
@attribute Country=Japan numeric
@attribute Branch=1 numeric
@attribute Branch=2 numeric
@attribute Branch=3 numeric
@attribute Branch=4 numeric
@attribute Branch=6 numeric
@attribute Branch=10 numeric
@attribute Currency=CHY numeric
@attribute Currency=USD numeric
@attribute Currency=EUR numeric
@attribute Currency=MXD numeric
@attribute Currency=INR numeric
@attribute Currency=CAD numeric
@attribute Salary numeric

@data
Tana,Dunne,tdunne2n@uiuc.edu,'7497 Farwell Center',1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,120000
Steven,McGrae,smcgrae11@engadget.com,'129 Clemons Center',0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,49000
Nobe,Haslen,nhaslen2p@mysql.com,'82 Division Point',1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,160000
Basile,Annis,bannis7@cornell.edu,'79 Weeping Birch Point',0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16000
Concordia,Kohen,ckoheny@cocolog-nifty.com,'203 Northridge Circle',0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,39000
Nev,Yuryatin,nyuryatink@php.net,'65703 Ridgeview Drive',0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,45000
Starlene,Sager,ssagerz@reuters.com,'088 Brown Park',0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19000
Curt,Medlar,cmedlar2w@addtoany.com,'1749 Lakewood Park',1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,150000
Adolpho,Bourdon,abourdon1b@wikimedia.org,'2605 Lighthouse Bay Trail',0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99000
Sonny,Trevarthen,strevarthen1t@blinklist.com,'270 Carey Junction',0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,36098
