@relation EmployeesSalary(1)-weka.filters.unsupervised.attribute.NominalToString-C2-5-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute first_name string
@attribute last_name string
@attribute email string
@attribute Address string
@attribute Country {China,U.S.A.,Germany,Mexico,Canada,Japan}
@attribute Branch {1,2,3,4,6,10}
@attribute Currency {CHY,USD,EUR,MXD,INR,CAD}
@attribute Salary numeric

@data
Tana,Dunne,tdunne2n@uiuc.edu,'7497 Farwell Center',China,3,CHY,120000
Steven,McGrae,smcgrae11@engadget.com,'129 Clemons Center',U.S.A.,1,USD,49000
Nobe,Haslen,nhaslen2p@mysql.com,'82 Division Point',China,3,CHY,160000
Basile,Annis,bannis7@cornell.edu,'79 Weeping Birch Point',U.S.A.,1,USD,16000
Concordia,Kohen,ckoheny@cocolog-nifty.com,'203 Northridge Circle',U.S.A.,1,USD,39000
Nev,Yuryatin,nyuryatink@php.net,'65703 Ridgeview Drive',U.S.A.,1,USD,45000
Starlene,Sager,ssagerz@reuters.com,'088 Brown Park',U.S.A.,1,USD,19000
Curt,Medlar,cmedlar2w@addtoany.com,'1749 Lakewood Park',China,3,CHY,150000
Adolpho,Bourdon,abourdon1b@wikimedia.org,'2605 Lighthouse Bay Trail',Germany,2,EUR,99000
Sonny,Trevarthen,strevarthen1t@blinklist.com,'270 Carey Junction',Germany,2,EUR,36098
Robbin,Geleman,rgeleman2j@phpbb.com,'5138 Nova Avenue',China,3,CHY,680000
Garnet,Linfoot,glinfoot2b@gov.uk,'9618 Emmet Drive',China,3,CHY,200000
Derick,Chuney,dchuney1p@earthlink.net,'73099 Anderson Pass',Germany,2,EUR,29000
Brion,Wallwood,bwallwood30@goo.ne.jp,'289 Almo Terrace',China,3,CHY,150000
Junie,Esmead,jesmead1g@sbwire.com,'15 Hagan Park',Germany,2,EUR,66000
Adrea,Bravey,abravey1@1und1.de,'4621 Emmet Junction',U.S.A.,1,USD,72000
Ella,McGenn,emcgennc@sourceforge.net,'41 1st Drive',U.S.A.,1,USD,90000
Sherlock,Lober,slober16@tuttocitta.it,'80547 Northridge Park',Germany,2,EUR,85000
Clarisse,Fawdrey,cfawdrey2i@smh.com.au,'78285 8th Junction',China,3,CHY,780000
Trudey,Kowal,tkowal1r@liveinternet.ru,'5253 Macpherson Pass',Germany,2,EUR,39000
Maximilian,Camies,mcamiesv@so-net.ne.jp,'7201 Cambridge Park',U.S.A.,1,USD,3000
Lisbeth,Fenne,lfenne2@un.org,'0 Dahle Hill',U.S.A.,1,USD,20500
Mahmud,Laurentin,mlaurentin29@bloomberg.com,'6895 Becker Court',China,3,CHY,450000
Jared,Pancoust,jpancoust21@domainmarket.com,'783 Arapahoe Park',Germany,2,EUR,49000
Tallie,Tiplady,ttiplady1s@a8.net,'85 Farmco Point',Germany,2,EUR,41068
Neron,Pennycook,npennycook1m@infoseek.co.jp,'397 Cascade Way',Germany,2,EUR,82000
Kendra,Gitthouse,kgitthouse1w@tuttocitta.it,'642 Waxwing Plaza',Germany,2,EUR,100000
Urbain,Scurrey,uscurrey40@creativecommons.org,'387 Reindahl Trail',Mexico,4,MXD,59000
Desmond,Flannery,doflannery1d@imgur.com,'8 Weeping Birch Point',Germany,2,EUR,54000
Marika,Kesper,mkesper4@digg.com,'86516 Stephen Street',U.S.A.,1,USD,32000
Maressa,Commucci,mcommucci3e@techcrunch.com,'3 Prairieview Alley',Mexico,4,MXD,30
Rickie,'Lates Ken',rlatesken@ameblo.jp,'823 Mockingbird Pass',Mexico,4,MXD,60000
Aigneis,Rangle,arangle2e@webs.com,'71505 Green Ridge Alley',China,3,CHY,350000
Kara,Scurrer,kscurrer3l@last.fm,'99 Merrick Crossing',Mexico,4,MXD,23000
Poul,Paulack,ppaulack22@facebook.com,'5183 Onsgard Point',Germany,2,EUR,52000
Aurel,Bertelmot,abertelmots@live.com,'57 Eagan Park',U.S.A.,1,USD,19567
Asa,Aleksandrev,aaleksandrev1h@msu.edu,'001 Green Street',Germany,2,EUR,42000
Robinetta,Narracott,rnarracott2u@usgs.gov,'67124 Laurel Road',China,3,CHY,150000
Maddi,Peres,mperes3w@comcast.net,'2 Crownhardt Street',Mexico,4,MXD,24500
